Level,Frequent_itemset,Frequent_item_set_seen_in,Yes_case_count,No_case_count,Total,Yes_percentage
2,dayType=WEEKEND && estimated_usage_bins=GT_3_LTE_4_HOURS,both,128.0,809.0,937.0,13.661
2,pickUpHourOfDay=EVENING && source=android,both,261.5,1653.5,1915.0,13.654
2,dayType=FRIDAY && source=android,both,213.6,1351.5,1565.1,13.647
2,booking_type=round_trip && dayType=WEEKEND,both,200.0,1267.0,1467.0,13.633
2,dayType=NORMAL_WEEKDAY && zone=248,yes,28.3,179.4,207.7,13.622
2,source=ios && zone=219,both,79.0,501.0,580.0,13.621
2,city=Bangalore && dayType=FRIDAY,both,159.8,1016.7,1176.6,13.586
2,booking_type=round_trip && pickUpHourOfDay=VERYLATE,yes,28.0,179.4,207.4,13.499
2,city=Delhi NCR && zone=75,yes,28.0,179.4,207.4,13.499
2,city=Hyderabad && zone_demand_popularity=POPULARITY_INDEX_5,yes,28.0,179.4,207.4,13.499
2,city=Mumbai && zone=418,yes,28.0,179.4,207.4,13.499
2,pickUpHourOfDay=LATENIGHT && zone=141,yes,28.0,179.4,207.4,13.499
2,zone=418 && zone_demand_popularity=POPULARITY_INDEX_3,yes,28.0,179.4,207.4,13.499
2,zone=75 && zone_demand_popularity=POPULARITY_INDEX_3,yes,28.0,179.4,207.4,13.499
2,sla=Scheduled && zone=194,yes,28.0,179.4,207.4,13.483
2,city=Bangalore && zone_demand_popularity=POPULARITY_INDEX_2,both,375.5,2414.5,2789.9,13.458
2,city=Bangalore && zone=250,yes,27.9,179.4,207.3,13.449
2,city=Hyderabad && pickUpHourOfDay=EARLY,both,35.0,227.0,262.0,13.359
2,dayType=WEEKEND && estimated_usage_bins=GT_8_HOURS,both,39.0,253.0,292.0,13.356
2,booking_type=one_way_trip && zone_demand_popularity=POPULARITY_INDEX_3,both,265.0,1720.8,1985.9,13.346
2,city=Mumbai && pickUpHourOfDay=MORNING,both,116.0,758.0,874.0,13.272
2,source=ios && zone=141,both,28.0,183.0,211.0,13.270
2,source=android && zone=141,both,36.8,241.2,278.0,13.245
2,city=Bangalore && zone_demand_popularity=POPULARITY_INDEX_3,both,165.4,1083.6,1249.0,13.244
2,pickUpHourOfDay=EVENING && sla=Scheduled,both,422.9,2771.7,3194.6,13.239
2,city=Mumbai && source=ios,both,263.0,1728.0,1991.0,13.209
2,booking_type=round_trip && estimated_usage_bins=GT_1_LTE_2_HOURS,both,223.0,1468.0,1691.0,13.187
2,dayType=FRIDAY && zone_demand_popularity=POPULARITY_INDEX_1,both,92.0,606.0,698.0,13.181
2,sla=Scheduled && zone_demand_popularity=POPULARITY_INDEX_4,both,520.8,3435.8,3956.6,13.163
2,city=Chennai && zone_demand_popularity=POPULARITY_INDEX_5,both,77.0,508.0,585.0,13.162
2,booking_type=outstation && estimated_usage_bins=GT_8_HOURS,both,74.0,489.0,563.0,13.144
2,city=Mumbai && pickUpHourOfDay=LATENIGHT,both,60.0,397.0,457.0,13.129
2,booking_type=round_trip && pickUpHourOfDay=NIGHT,both,32.0,212.0,244.0,13.115
2,city=Chennai && pickUpHourOfDay=EVENING,both,38.0,252.0,290.0,13.103
2,dayType=FRIDAY && zone=248,yes,27.0,179.4,206.4,13.080
2,zone=245 && zone_demand_popularity=POPULARITY_INDEX_2,yes,27.0,179.4,206.4,13.080
2,booking_type=one_way_trip && pickUpHourOfDay=EVENING,both,178.0,1183.2,1361.2,13.074
2,booking_type=one_way_trip && source=Phone,both,28.4,189.3,217.7,13.043
2,sla=Scheduled && zone=209,both,41.9,279.6,321.6,13.043
2,sla=Scheduled && zone=289,both,41.9,279.6,321.6,13.043
2,city=Delhi NCR && source=android,both,162.0,1080.8,1242.9,13.037
2,dayType=FRIDAY && zone_demand_popularity=POPULARITY_INDEX_2,both,91.0,607.0,698.0,13.037
2,booking_type=one_way_trip && pickUpHourOfDay=AFTERNOON,both,66.3,444.9,511.1,12.963
2,dayType=FRIDAY && zone_demand_popularity=POPULARITY_INDEX_3,both,88.0,592.0,680.0,12.941
